Tahun Pembuatan,Tanggal ,CO,HC,Usia Kendaraan,Euro,Baku Mutu CO,Baku Mutu HC,CO_ratio,HC_ratio,segmen_tahun,alpha,Koreksi_CO,Koreksi_HC,LULUS/TIDAK
2003,08/11/2023,0,692,20,NON_EURO,5.5,2200,0,0.314545455,<2010,0.2,-0.2,-0.137090909,TRUE
2003,06/08/2024,6.36,565,21,NON_EURO,5.5,2200,1.156363636,0.256818182,<2010,0.2,0.031272727,-0.148636364,FALSE
2003,21/09/2023,1.54,235,20,NON_EURO,5.5,2200,0.28,0.106818182,<2010,0.2,-0.144,-0.178636364,TRUE
2003,06/10/2023,3.01,200,20,NON_EURO,5.5,2200,0.547272727,0.090909091,<2010,0.2,-0.090545455,-0.181818182,TRUE
2003,13/09/2023,0,177,20,NON_EURO,5.5,2200,0,0.080454545,<2010,0.2,-0.2,-0.183909091,TRUE
2003,10/09/2023,4.21,1748,20,NON_EURO,5.5,2200,0.765454545,0.794545455,<2010,0.2,-0.046909091,-0.041090909,TRUE
2003,22/01/2025,9.99,1524,22,NON_EURO,5.5,2200,1.816363636,0.692727273,<2010,0.2,0.163272727,-0.061454545,FALSE
2003,25/08/2023,2.37,141,20,NON_EURO,5.5,2200,0.430909091,0.064090909,<2010,0.2,-0.113818182,-0.187181818,TRUE
2003,06/09/2023,2.88,1989,20,NON_EURO,5.5,2200,0.523636364,0.904090909,<2010,0.2,-0.095272727,-0.019181818,TRUE
2003,30/08/2023,0.1,547,20,NON_EURO,5.5,2200,0.018181818,0.248636364,<2010,0.2,-0.196363636,-0.150272727,TRUE
2003,20/02/2025,0.15,1370,22,NON_EURO,5.5,2200,0.027272727,0.622727273,<2010,0.2,-0.194545455,-0.075454545,TRUE
2003,12/09/2023,3.55,2350,20,NON_EURO,5.5,2200,0.645454545,1.068181818,<2010,0.2,-0.070909091,0.013636364,FALSE
2003,07/09/2023,4.48,462,20,NON_EURO,5.5,2200,0.814545455,0.21,<2010,0.2,-0.037090909,-0.158,TRUE
2003,31/08/2023,1.97,304,20,NON_EURO,5.5,2200,0.358181818,0.138181818,<2010,0.2,-0.128363636,-0.172363636,TRUE
2003,25/08/2023,3.99,1786,20,NON_EURO,5.5,2200,0.725454545,0.811818182,<2010,0.2,-0.054909091,-0.037636364,TRUE
2003,23/11/2023,0.14,97,20,NON_EURO,5.5,2200,0.025454545,0.044090909,<2010,0.2,-0.194909091,-0.191181818,TRUE
2004,17/09/2023,1.15,1065,19,NON_EURO,5.5,2200,0.209090909,0.484090909,<2010,0.2,-0.158181818,-0.103181818,TRUE
2004,29/08/2023,1.65,154,19,NON_EURO,5.5,2200,0.3,0.07,<2010,0.2,-0.14,-0.186,TRUE
