Tanggal,Kategori,Klasifikasi,Kelas,Bahan Bakar,Tahun Pembuatan,Sistem Pembakaran,CC,Tonnase,Jarak Tempuh,Opasitas,Tahun Uji,Usia Kendaraan,Baku Mutu Opasitas,Opasitas_ratio,segmen_tahun,Euro,alpha,Koreksi_Opasitas,LULUS/TIIDAK
07/09/2023 00:00,,C,,,2000,,,,,3,,23,50,0.06,<2010,NON_EURO,0.3,-0.282,TRUE
12/09/2013,M,C,D1,Solar,2000,Diesel,3298,1,356101,98.7,2013,13,65,1.518461538,<2010,NON_EURO,0.3,0.155538461,FALSE
26/04/2016,M,C,D1,Solar,2000,Diesel,3900,3,215181,49.5,2016,16,65,0.761538462,<2010,NON_EURO,0.3,-0.071538461,TRUE
29/08/2023 00:00,,C,,,2000,,,,,39.5,,23,50,0.79,<2010,NON_EURO,0.3,-0.063,TRUE
24/09/2014,M,C,D3,Solar,2000,Diesel,2500,1500,53810,84.9,2014,14,65,1.306153846,<2010,NON_EURO,0.3,0.091846154,FALSE
19/09/2013,M,C,D1,Solar,2000,Diesel,2800,1,411632,86.5,2013,13,65,1.330769231,<2010,NON_EURO,0.3,0.099230769,FALSE
29/08/2023 00:00,,C,,,2000,,,,,43,,23,50,0.86,<2010,NON_EURO,0.3,-0.042,TRUE
30/08/2023 00:00,,C,,,2000,,,,,27.7,,23,50,0.554,<2010,NON_EURO,0.3,-0.1338,TRUE
29/08/2023 00:00,,C,,,2001,,,,,39,,22,50,0.78,<2010,NON_EURO,0.3,-0.066,TRUE
21/05/2014,M,C,D3,Solar,2001,Diesel,2500,1000,27389,18,2014,13,65,0.276923077,<2010,NON_EURO,0.3,-0.216923077,TRUE
07/10/2015,M,C,D1,Solar,2001,Diesel,3400,3,1900270,17.9,2015,14,65,0.275384615,<2010,NON_EURO,0.3,-0.217384616,TRUE
15/04/2023 00:00,,C,,,2001,,,,,26.5,,22,50,0.53,<2010,NON_EURO,0.3,-0.141,TRUE
05/09/2023 00:00,,C,,,2001,,,,,32,,22,50,0.64,<2010,NON_EURO,0.3,-0.108,TRUE
06/09/2023 00:00,,C,,,2001,,,,,34.3,,22,50,0.686,<2010,NON_EURO,0.3,-0.0942,TRUE
31/08/2023 00:00,,C,,,2001,,,,,9,,22,50,0.18,<2010,NON_EURO,0.3,-0.246,TRUE
22/05/2014,M,C,D3,Solar,2001,Diesel,2000,1000,30977,90.6,2014,13,65,1.393846154,<2010,NON_EURO,0.3,0.118153846,FALSE
02/10/2023 00:00,,C,,,2001,,,,,8,,22,65,0.123076923,<2010,NON_EURO,0.3,-0.263076923,TRUE
22/11/2023 00:00,,C,,,2001,,,,,34,,22,65,0.523076923,<2010,NON_EURO,0.3,-0.143076923,TRUE
24/10/2023 00:00,,C,,,2001,,,,,14.4,,22,65,0.221538462,<2010,NON_EURO,0.3,-0.233538462,TRUE
20/05/2014,M,C,D3,Solar,2001,Diesel,3200,1000,1321,39.3,2014,13,65,0.604615385,<2010,NON_EURO,0.3,-0.118615384,TRUE
19/11/2024 00:00,,C,,,2001,,,,,39.6,,23,65,0.609230769,<2010,NON_EURO,0.3,-0.117230769,TRUE
05/11/2023 00:00,,C,,,2001,,,,,17,,22,65,0.261538462,<2010,NON_EURO,0.3,-0.221538462,TRUE
26/04/2016,M,C,D1,Solar,2001,Diesel,3000,3,37976,36.6,2016,15,65,0.563076923,<2010,NON_EURO,0.3,-0.131076923,TRUE
21/05/2014,M,C,D3,Solar,2001,Diesel,2500,1000,21643,62.2,2014,13,65,0.956923077,<2010,NON_EURO,0.3,-0.012923077,TRUE
21/11/2024 00:00,,C,,,2001,,,,,65,,23,65,1,<2010,NON_EURO,0.3,0,TRUE
06/10/2015,M,C,D1,Solar,2001,Diesel,3500,3,700211,63,2015,14,65,0.969230769,<2010,NON_EURO,0.3,-0.009230769,TRUE
10/09/2013,M,C,D1,Solar,2002,Diesel,3000,1,27475,28,2013,11,65,0.430769231,<2010,NON_EURO,0.3,-0.170769231,TRUE
16/05/2017,M,C,D3,Solar,2002,Diesel,2500,3.7,189697,95.6,2017,15,65,1.470769231,<2010,NON_EURO,0.3,0.141230769,FALSE
25/04/2018,M,C,D1,Solar,2002,Diesel,2446,1.5,18399,46.4,2018,16,65,0.713846154,<2010,NON_EURO,0.3,-0.085846154,TRUE
19/09/2013,M,C,D1,Solar,2002,Diesel,2500,3.5,124900,32.9,2013,11,65,0.506153846,<2010,NON_EURO,0.3,-0.148153846,TRUE
