Tahun Pembuatan,Tanggal ,CO,HC,Usia Kendaraan,Euro,Baku Mutu CO,Baku Mutu HC,CO_ratio,HC_ratio,segmen_tahun,alpha,Koreksi_CO,Koreksi_HC,LULUS/TIDAK,,,,,,,
2006,07/09/2023,0.44,2220,17,NON_EURO,5.5,2200,0.08,1.009090909,<2010,0.2,-0.184,0.001818182,FALSE,,,,,,,
2005,13/09/2023,2.76,2207,18,NON_EURO,5.5,2200,0.501818182,1.003181818,<2010,0.2,-0.099636364,0.000636364,FALSE,,,,,,,
2006,30/08/2023,9.89,2060,17,NON_EURO,5.5,2200,1.798181818,0.936363636,<2010,0.2,0.159636364,-0.012727273,FALSE,,,,,,,
2005,20/02/2025,6.85,2052,20,NON_EURO,5.5,2200,1.245454545,0.932727273,<2010,0.2,0.049090909,-0.013454545,FALSE,,,,,,,
2004,29/08/2023,5.71,2009,19,NON_EURO,5.5,2200,1.038181818,0.913181818,<2010,0.2,0.007636364,-0.017363636,FALSE,,,,,,,
2004,13/02/2024,7.62,1981,20,NON_EURO,5.5,2200,1.385454545,0.900454545,<2010,0.2,0.077090909,-0.019909091,FALSE,,,,,,,
2005,12/09/2023,5.97,1945,18,NON_EURO,5.5,2200,1.085454545,0.884090909,<2010,0.2,0.017090909,-0.023181818,FALSE,,,,,,,
2006,16/05/2023,6.23,1934,17,NON_EURO,5.5,2200,1.132727273,0.879090909,<2010,0.2,0.026545455,-0.024181818,FALSE,,,,,,,
2003,13/09/2023,9.43,1906,20,NON_EURO,5.5,2200,1.714545455,0.866363636,<2010,0.2,0.142909091,-0.026727273,FALSE,,,,,,,
2006,12/09/2023,7.19,1896,17,NON_EURO,5.5,2200,1.307272727,0.861818182,<2010,0.2,0.061454545,-0.027636364,FALSE,,,,,,,
2006,11/12/2024,9.64,1834,18,NON_EURO,5.5,2200,1.752727273,0.833636364,<2010,0.2,0.150545455,-0.033272727,FALSE,,,,,,,
2006,13/08/2024,5.76,1808,18,NON_EURO,5.5,2200,1.047272727,0.821818182,<2010,0.2,0.009454545,-0.035636364,FALSE,,,,,,,
2005,30/09/2024,8.14,1769,19,NON_EURO,5.5,2200,1.48,0.804090909,<2010,0.2,0.096,-0.039181818,FALSE,,,,,,,
2002,06/11/2023,9.27,1764,21,NON_EURO,5.5,2200,1.685454545,0.801818182,<2010,0.2,0.137090909,-0.039636364,FALSE,,,,,,,
2004,05/10/2023,8.09,1676,19,NON_EURO,5.5,2200,1.470909091,0.761818182,<2010,0.2,0.094181818,-0.047636364,FALSE,,,,,,,
2006,20/09/2024,5.6,1675,18,NON_EURO,5.5,2200,1.018181818,0.761363636,<2010,0.2,0.003636364,-0.047727273,FALSE,,,,,,,
2005,13/09/2023,7.13,1671,18,NON_EURO,5.5,2200,1.296363636,0.759545455,<2010,0.2,0.059272727,-0.048090909,FALSE,,,,,,,
2005,05/03/2024,8.44,1608,19,NON_EURO,5.5,2200,1.534545455,0.730909091,<2010,0.2,0.106909091,-0.053818182,FALSE,,,,,,,
2005,03/09/2023,6.6,1599,18,NON_EURO,5.5,2200,1.2,0.726818182,<2010,0.2,0.04,-0.054636364,FALSE,,,,,,,
2006,28/08/2023,10.4,1597,17,NON_EURO,5.5,2200,1.890909091,0.725909091,<2010,0.2,0.178181818,-0.054818182,FALSE,,,,,,,
2006,12/10/2023,9.08,1560,17,NON_EURO,5.5,2200,1.650909091,0.709090909,<2010,0.2,0.130181818,-0.058181818,FALSE,,,,,,,
2005,25/08/2023,6.13,1554,18,NON_EURO,5.5,2200,1.114545455,0.706363636,<2010,0.2,0.022909091,-0.058727273,FALSE,,,,,,,
2006,23/09/2023,9.05,1547,17,NON_EURO,5.5,2200,1.645454545,0.703181818,<2010,0.2,0.129090909,-0.059363636,FALSE,,,,,,,
2003,22/01/2025,9.99,1524,22,NON_EURO,5.5,2200,1.816363636,0.692727273,<2010,0.2,0.163272727,-0.061454545,FALSE,,,,,,,
2004,17/09/2023,5.56,1495,19,NON_EURO,5.5,2200,1.010909091,0.679545455,<2010,0.2,0.002181818,-0.064090909,FALSE,,,,,,,
2005,14/10/2023,5.59,1489,18,NON_EURO,5.5,2200,1.016363636,0.676818182,<2010,0.2,0.003272727,-0.064636364,FALSE,,,,,,,
2006,26/08/2023,8.45,1484,17,NON_EURO,5.5,2200,1.536363636,0.674545455,<2010,0.2,0.107272727,-0.065090909,FALSE,,,,,,,
2006,02/10/2024,9.15,1400,18,NON_EURO,5.5,2200,1.663636364,0.636363636,<2010,0.2,0.132727273,-0.072727273,FALSE,,,,,,,
2006,04/09/2023,6.97,1393,17,NON_EURO,5.5,2200,1.267272727,0.633181818,<2010,0.2,0.053454545,-0.073363636,FALSE,,,,,,,
2005,23/05/2023,6.49,1376,18,NON_EURO,5.5,2200,1.18,0.625454545,<2010,0.2,0.036,-0.074909091,FALSE,,,,,,,
2005,07/02/2025,6.32,1355,20,NON_EURO,5.5,2200,1.149090909,0.615909091,<2010,0.2,0.029818182,-0.076818182,FALSE,,,,,,,
2006,04/11/2023,8.12,1338,17,NON_EURO,5.5,2200,1.476363636,0.608181818,<2010,0.2,0.095272727,-0.078363636,FALSE,,,,,,,
2006,11/09/2023,6.94,1303,17,NON_EURO,5.5,2200,1.261818182,0.592272727,<2010,0.2,0.052363636,-0.081545455,FALSE,,,,,,,
2005,17/09/2023,5.88,1299,18,NON_EURO,5.5,2200,1.069090909,0.590454545,<2010,0.2,0.013818182,-0.081909091,FALSE,,,,,,,
2006,02/09/2023,9.5,1296,17,NON_EURO,5.5,2200,1.727272727,0.589090909,<2010,0.2,0.145454545,-0.082181818,FALSE,,,,,,,
2001,15/12/2023,5.96,1268,22,NON_EURO,5.5,2200,1.083636364,0.576363636,<2010,0.2,0.016727273,-0.084727273,FALSE,,EURO3,1.002,,,,
2006,23/11/2023,8.99,1232,17,NON_EURO,5.5,2200,1.634545455,0.56,<2010,0.2,0.126909091,-0.088,FALSE,,,,,,,
2005,27/09/2023,7.81,1210,18,NON_EURO,5.5,2200,1.42,0.55,<2010,0.2,0.084,-0.09,FALSE,,,,,,,
2005,05/03/2024,5.55,1201,19,NON_EURO,5.5,2200,1.009090909,0.545909091,<2010,0.2,0.001818182,-0.090818182,FALSE,,,,,,,
2006,20/09/2023,8.56,1169,17,NON_EURO,5.5,2200,1.556363636,0.531363636,<2010,0.2,0.111272727,-0.093727273,FALSE,,,,,,,
2006,11/09/2023,9.6,1122,17,NON_EURO,5.5,2200,1.745454545,0.51,<2010,0.2,0.149090909,-0.098,FALSE,,,,,,,
2005,01/09/2023,8.94,1104,18,NON_EURO,5.5,2200,1.625454545,0.501818182,<2010,0.2,0.125090909,-0.099636364,FALSE,,,,,,,
2006,19/09/2023,9.08,1099,17,NON_EURO,5.5,2200,1.650909091,0.499545455,<2010,0.2,0.130181818,-0.100090909,FALSE,,,,,,,
2005,08/10/2024,7.55,1074,19,NON_EURO,5.5,2200,1.372727273,0.488181818,<2010,0.2,0.074545455,-0.102363636,FALSE,,,,,,,
2005,07/11/2023,8.95,1061,18,NON_EURO,5.5,2200,1.627272727,0.482272727,<2010,0.2,0.125454545,-0.103545455,FALSE,,,,,,,
2006,29/08/2023,9.01,1008,17,NON_EURO,5.5,2200,1.638181818,0.458181818,<2010,0.2,0.127636364,-0.108363636,FALSE,,,,,,,
2004,05/06/2023,7.79,1004,19,NON_EURO,5.5,2200,1.416363636,0.456363636,<2010,0.2,0.083272727,-0.108727273,FALSE,,,,,,,
2004,19/09/2023,6.88,1003,19,NON_EURO,5.5,2200,1.250909091,0.455909091,<2010,0.2,0.050181818,-0.108818182,FALSE,,,,,,,
2004,12/08/2024,7,1002,20,NON_EURO,5.5,2200,1.272727273,0.455454545,<2010,0.2,0.054545455,-0.108909091,FALSE,,,,,,,
2005,29/08/2023,8.88,986,18,NON_EURO,5.5,2200,1.614545455,0.448181818,<2010,0.2,0.122909091,-0.110363636,FALSE,,,,,,,
2006,16/01/2024,9.774,981,18,NON_EURO,5.5,2200,1.777090909,0.445909091,<2010,0.2,0.155418182,-0.110818182,FALSE,,,,,,,
2005,25/11/2024,6.88,945,19,NON_EURO,5.5,2200,1.250909091,0.429545455,<2010,0.2,0.050181818,-0.114090909,FALSE,,,,,,,
2006,12/09/2023,6.41,920,17,NON_EURO,5.5,2200,1.165454545,0.418181818,<2010,0.2,0.033090909,-0.116363636,FALSE,,,,,,,
2006,24/09/2024,9.99,905,18,NON_EURO,5.5,2200,1.816363636,0.411363636,<2010,0.2,0.163272727,-0.117727273,FALSE,,,,,,,
2006,02/11/2023,8.1,887,17,NON_EURO,5.5,2200,1.472727273,0.403181818,<2010,0.2,0.094545455,-0.119363636,FALSE,,,,,,,
2004,10/10/2023,5.96,866,19,NON_EURO,5.5,2200,1.083636364,0.393636364,<2010,0.2,0.016727273,-0.121272727,FALSE,,,,,,,
2006,29/08/2023,5.64,854,17,NON_EURO,5.5,2200,1.025454545,0.388181818,<2010,0.2,0.005090909,-0.122363636,FALSE,,,,,,,
2004,21/09/2023,8.31,853,19,NON_EURO,5.5,2200,1.510909091,0.387727273,<2010,0.2,0.102181818,-0.122454545,FALSE,,,,,,,
2005,29/09/2023,9.15,850,18,NON_EURO,5.5,2200,1.663636364,0.386363636,<2010,0.2,0.132727273,-0.122727273,FALSE,,,,,,,
2005,23/09/2024,7.6,845,19,NON_EURO,5.5,2200,1.381818182,0.384090909,<2010,0.2,0.076363636,-0.123181818,FALSE,,,,,,,
2005,09/09/2023,6.7,836,18,NON_EURO,5.5,2200,1.218181818,0.38,<2010,0.2,0.043636364,-0.124,FALSE,,,,,,,
2006,24/07/2024,7.65,829,18,NON_EURO,5.5,2200,1.390909091,0.376818182,<2010,0.2,0.078181818,-0.124636364,FALSE,,,,,,,
2006,01/03/2023,6.02,825,17,NON_EURO,5.5,2200,1.094545455,0.375,<2010,0.2,0.018909091,-0.125,FALSE,,,,,,,
2004,28/11/2024,7.35,819,20,NON_EURO,5.5,2200,1.336363636,0.372272727,<2010,0.2,0.067272727,-0.125545455,FALSE,,,,,,,
2006,09/10/2023,6.82,819,17,NON_EURO,5.5,2200,1.24,0.372272727,<2010,0.2,0.048,-0.125545455,FALSE,,,,,,,
2006,05/09/2023,6.73,813,17,NON_EURO,5.5,2200,1.223636364,0.369545455,<2010,0.2,0.044727273,-0.126090909,FALSE,,,,,,,
2006,17/02/2025,9.99,807,19,NON_EURO,5.5,2200,1.816363636,0.366818182,<2010,0.2,0.163272727,-0.126636364,FALSE,,,,,,,
2003,16/10/2023,8.18,801,20,NON_EURO,5.5,2200,1.487272727,0.364090909,<2010,0.2,0.097454545,-0.127181818,FALSE,,,,,,,
2006,30/08/2023,6.05,800,17,NON_EURO,5.5,2200,1.1,0.363636364,<2010,0.2,0.02,-0.127272727,FALSE,,,,,,,
2005,06/09/2023,8.17,787,18,NON_EURO,5.5,2200,1.485454545,0.357727273,<2010,0.2,0.097090909,-0.128454545,FALSE,,,,,,,
2005,21/08/2023,6.49,786,18,NON_EURO,5.5,2200,1.18,0.357272727,<2010,0.2,0.036,-0.128545455,FALSE,,,,,,,
1997,01/09/2023,6.4,780,26,NON_EURO,5.5,2200,1.163636364,0.354545455,<2010,0.2,0.032727273,-0.129090909,FALSE,,EURO2,12.5,2.95625,,,
2006,19/09/2023,6.49,775,17,NON_EURO,5.5,2200,1.18,0.352272727,<2010,0.2,0.036,-0.129545455,FALSE,,,,,,,
2006,31/08/2023,8.26,767,17,NON_EURO,5.5,2200,1.501818182,0.348636364,<2010,0.2,0.100363636,-0.130272727,FALSE,,,,,,,
2006,20/02/2025,9.76,737,19,NON_EURO,5.5,2200,1.774545455,0.335,<2010,0.2,0.154909091,-0.133,FALSE,,,,,,,
2003,30/04/2024,6.2,737,21,NON_EURO,5.5,2200,1.127272727,0.335,<2010,0.2,0.025454545,-0.133,FALSE,,,,,,,
2005,09/09/2023,7.34,702,18,NON_EURO,5.5,2200,1.334545455,0.319090909,<2010,0.2,0.066909091,-0.136181818,FALSE,,,,,,,
2006,30/04/2024,7.04,700,18,NON_EURO,5.5,2200,1.28,0.318181818,<2010,0.2,0.056,-0.136363636,FALSE,,,,,,,
2005,24/08/2023,8.42,687,18,NON_EURO,5.5,2200,1.530909091,0.312272727,<2010,0.2,0.106181818,-0.137545455,FALSE,,,,,,,
2004,14/11/2023,9.53,684,19,NON_EURO,5.5,2200,1.732727273,0.310909091,<2010,0.2,0.146545455,-0.137818182,FALSE,,,,,,,
2004,12/07/2023,7.76,676,19,NON_EURO,5.5,2200,1.410909091,0.307272727,<2010,0.2,0.082181818,-0.138545455,FALSE,,,,,,,
